Food Name
Sliced_Bread_Jam
Jelly
Honey
Butter
Eggs
Banana
Cake
Firnee
Halua
Tea
Coffee
Parata
Alu_Parata
Chicken_Parata
Chapati
Toast
Scramble_Egg
Pan_Cake
Corn_Flakes
Sugar
Milk
Bhajee
Chicken_Bhoona
Beef_Bhoona
Beef_Mashalla
Chicken_Mashalla
chicken_curry 
beef_curry 
mutton_curry 
mutton_bhoona
mutton_mashalla
Vegetable_Sandwich
Vegetable_Cheese_Sandwich
Chicken_Cheese_Sandwich
Chicken_Cutlet
Vegetable_Cutlet
Fish_Cutlet
Egg_Sandwich
Chicken_Sandwich
Chicken_with_Bread_Ball
Banana
Papaya
Apple
Orange
Grapes
Mango
Water_melon
Steam_Rice
Vegetables
Dal 
Fish_Cutlet
fish
salad
mineral
desserts 
mishti
DOi
chira
muri
plain_rice
plain_polaue
vegetable_polaue
Nan_ruti
butter_nan
garlic_nan
bosnian_rooti
bharta
alu_varta
egg_bharta
kola_bharta
chingri_bharta
dal_bharta
begun_bharta
papaya_bharta
kalmee_shaak
lal_shaak
dheki_shaak
palong_shaak
begun_bhajee
korolla
potol
alu_bhajee
Lobster
Prawn
Hilsha_Mustard
Hilsha_curry
Hilsha_bhajee
koi_fish
koy_bhoona
koi_bhajee
Rui_fish_curry
rui_fish_bhoona
vhatki_fish_bhoona
vhatki fish dopiazi
Tengra_fish_bhoona
Magur_fish_bhoona
sing_fish_bhoona
mango
jackfruite
graps
kensington
chakapat_mango
burger
khichuri
Kala_vhuna
